PATH TRANSVERSAL
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Fortify', 'Horusec');0;0;0;0;0;42;4;4;4;22;60;60;60;0;0;0;0;4;4;4;4;
('Fortify', 'Kiuwan');0;0;0;0;0;4;4;4;4;60;60;60;60;0;0;0;0;4;4;4;4;
('Fortify', 'SpotBugs');0;0;0;0;0;1;4;4;4;63;60;60;60;0;0;0;0;4;4;4;4;
('Semgrep', 'Synopsis');0;0;0;0;0;1;1;1;1;63;63;63;63;0;0;0;0;4;4;4;4;
('Semgrep', 'Horusec');0;0;0;0;0;42;1;1;1;22;63;63;63;0;0;0;0;4;4;4;4;
('Semgrep', 'Kiuwan');0;0;0;0;0;1;1;1;1;63;63;63;63;0;0;0;0;4;4;4;4;
('Semgrep', 'SpotBugs');0;0;0;0;0;1;1;1;1;63;63;63;63;0;0;0;0;4;4;4;4;
('Synopsis', 'Horusec');0;0;0;0;0;42;42;42;42;22;22;22;22;0;0;0;0;4;4;4;4;
('Synopsis', 'Kiuwan');0;0;0;0;0;3;3;3;3;61;61;61;61;0;0;0;0;4;4;4;4;
('Synopsis', 'SpotBugs');0;0;0;0;0;1;1;1;1;63;63;63;63;0;0;0;0;4;4;4;4;
('Horusec', 'Kiuwan');0;0;0;0;0;42;42;3;3;22;22;61;61;0;0;0;0;4;4;4;4;
('Horusec', 'SpotBugs');0;0;0;0;0;42;42;42;42;22;22;22;22;0;0;0;0;4;4;4;4;
('Kiuwan', 'SpotBugs');0;0;0;0;0;1;3;3;3;63;61;61;61;0;0;0;0;4;4;4;4;


OUTPUT NEUTRALIZATION OF LOGS
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;345;345;345;113;341;341;341;573;245;245;245;12;423;423;423;656;
('Snyk', 'Semgrep');0;0;0;0;0;146;146;146;146;540;540;540;540;1;1;1;1;667;667;667;667;
('Snyk', 'Synopsis');0;0;0;0;0;113;113;113;113;573;573;573;573;12;12;12;12;656;656;656;656;
('Snyk', 'Horusec');0;0;0;0;0;113;113;113;113;573;573;573;573;12;12;12;12;656;656;656;656;
('Snyk', 'Kiuwan');0;0;0;0;0;99;99;99;99;587;587;587;587;3;3;3;3;665;665;665;665;
('Snyk', 'SpotBugs');0;0;0;0;0;113;113;113;113;573;573;573;573;12;12;12;12;656;656;656;656;
('Fortify', 'Semgrep');0;0;0;0;0;345;345;345;146;341;341;341;540;245;245;245;1;423;423;423;667;
('Fortify', 'Synopsis');0;0;0;0;0;345;345;345;345;341;341;341;341;245;245;245;245;423;423;423;423;
('Fortify', 'Horusec');0;0;0;0;0;345;345;345;345;341;341;341;341;245;245;245;245;423;423;423;423;
('Fortify', 'Kiuwan');0;0;0;0;0;345;345;345;99;341;341;341;587;245;245;245;3;423;423;423;665;
('Fortify', 'SpotBugs');0;0;0;0;0;345;345;345;14;341;341;341;672;245;245;245;3;423;423;423;665;
('Semgrep', 'Synopsis');0;0;0;0;0;146;146;146;146;540;540;540;540;1;1;1;1;667;667;667;667;
('Semgrep', 'Horusec');0;0;0;0;0;146;146;146;146;540;540;540;540;1;1;1;1;667;667;667;667;
('Semgrep', 'Kiuwan');0;0;0;0;0;146;146;146;146;540;540;540;540;1;1;1;1;667;667;667;667;
('Semgrep', 'SpotBugs');0;0;0;0;0;146;146;146;146;540;540;540;540;1;1;1;1;667;667;667;667;
('Synopsis', 'Horusec');0;0;0;0;0;18;18;18;18;668;668;668;668;121;121;121;121;547;547;547;547;
('Synopsis', 'Kiuwan');0;0;0;0;0;99;99;99;99;587;587;587;587;3;3;3;3;665;665;665;665;
('Synopsis', 'SpotBugs');0;0;0;0;0;14;18;18;14;672;668;668;672;3;121;121;3;665;547;547;665;
('Horusec', 'Kiuwan');0;0;0;0;0;99;99;99;99;587;587;587;587;3;3;3;3;665;665;665;665;
('Horusec', 'SpotBugs');0;0;0;0;0;14;14;14;14;672;672;672;672;3;3;3;3;665;665;665;665;
('Kiuwan', 'SpotBugs');0;0;0;0;0;99;99;99;99;587;587;587;587;3;3;3;3;665;665;665;665;


SSRF
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;5;5;5;5;12;12;12;12;7;7;7;7;23;23;23;23;
('Snyk', 'Semgrep');0;0;0;0;0;6;6;6;5;11;11;11;12;11;11;11;7;19;19;19;23;
('Snyk', 'Synopsis');0;0;0;0;0;5;5;5;1;12;12;12;16;7;7;7;0;23;23;23;30;
('Snyk', 'Horusec');0;0;0;0;0;5;5;5;5;12;12;12;12;7;7;7;7;23;23;23;23;
('Snyk', 'Kiuwan');0;0;0;0;0;5;5;5;5;12;12;12;12;7;7;7;7;23;23;23;23;
('Snyk', 'SpotBugs');0;0;0;0;0;5;5;5;5;12;12;12;12;7;7;7;7;23;23;23;23;
('Fortify', 'Semgrep');0;0;0;0;0;6;6;6;6;11;11;11;11;11;11;11;11;19;19;19;19;
('Fortify', 'Synopsis');0;0;0;0;0;1;1;1;1;16;16;16;16;0;0;0;0;30;30;30;30;
('Fortify', 'Horusec');0;0;0;0;0;0;0;0;0;17;17;17;17;0;0;0;0;30;30;30;30;
('Fortify', 'Kiuwan');0;0;0;0;0;2;2;2;2;15;15;15;15;1;1;1;1;29;29;29;29;
('Fortify', 'SpotBugs');0;0;0;0;0;1;1;1;1;16;16;16;16;3;3;3;3;27;27;27;27;
('Semgrep', 'Synopsis');0;0;0;0;0;6;6;6;1;11;11;11;16;11;11;11;0;19;19;19;30;
('Semgrep', 'Horusec');0;0;0;0;0;6;6;6;6;11;11;11;11;11;11;11;11;19;19;19;19;
('Semgrep', 'Kiuwan');0;0;0;0;0;6;6;6;2;11;11;11;15;11;11;11;1;19;19;19;29;
