PATH TRANSVERSAL
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Semgrep', 'Synopsis');0;0;0;0;0;0;0;0;0;16;16;16;16;0;0;0;0;30;30;30;30;
('Semgrep', 'Horusec');0;0;0;0;0;1;1;1;1;15;15;15;15;1;1;1;1;29;29;29;29;
('Semgrep', 'Kiuwan');0;0;0;0;0;0;0;0;0;16;16;16;16;4;4;4;4;26;26;26;26;
('Semgrep', 'SpotBugs');0;0;0;0;0;0;0;0;1;16;16;16;15;2;2;2;1;28;28;28;29;
('Synopsis', 'Horusec');0;0;0;0;0;0;0;0;0;16;16;16;16;0;0;0;0;30;30;30;30;
('Synopsis', 'Kiuwan');0;0;0;0;0;0;0;0;0;16;16;16;16;4;4;0;0;26;26;30;30;
('Synopsis', 'SpotBugs');0;0;0;0;0;0;0;0;0;16;16;16;16;2;2;0;0;28;28;30;30;
('Horusec', 'Kiuwan');0;0;0;0;0;0;0;0;0;16;16;16;16;4;4;4;4;26;26;26;26;
('Horusec', 'SpotBugs');0;0;0;0;0;0;0;0;0;16;16;16;16;2;2;2;2;28;28;28;28;
('Kiuwan', 'SpotBugs');0;0;0;0;0;0;0;0;0;16;16;16;16;2;2;4;4;28;28;26;26;


CSRF
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;9;10;10;9;269;268;268;269;0;2;2;0;82;80;80;82;
('Snyk', 'Semgrep');0;0;0;0;0;9;9;9;9;269;269;269;269;0;0;0;0;82;82;82;82;
('Snyk', 'Synopsis');0;0;0;0;0;9;9;9;9;269;269;269;269;0;0;0;0;82;82;82;82;
('Snyk', 'Horusec');0;0;0;0;0;9;9;9;9;269;269;269;269;0;0;0;0;82;82;82;82;
('Snyk', 'Kiuwan');0;0;0;0;0;202;202;202;202;76;76;76;76;0;0;0;0;82;82;82;82;
('Snyk', 'SpotBugs');0;0;0;0;0;9;9;9;9;269;269;269;269;0;0;0;0;82;82;82;82;
('Fortify', 'Semgrep');0;0;0;0;0;10;10;10;10;268;268;268;268;2;2;2;2;80;80;80;80;
('Fortify', 'Synopsis');0;0;0;0;0;4;10;10;4;274;268;268;274;0;2;2;0;82;80;80;82;
('Fortify', 'Horusec');0;0;0;0;0;10;10;10;10;268;268;268;268;2;2;2;2;80;80;80;80;
('Fortify', 'Kiuwan');0;0;0;0;0;202;202;202;202;76;76;76;76;0;0;0;0;82;82;82;82;
('Fortify', 'SpotBugs');0;0;0;0;0;10;10;10;10;268;268;268;268;2;2;2;2;80;80;80;80;
('Semgrep', 'Synopsis');0;0;0;0;0;4;8;8;4;274;270;270;274;0;5;5;0;82;77;77;82;
('Semgrep', 'Horusec');0;0;0;0;0;8;8;8;8;270;270;270;270;5;5;5;5;77;77;77;77;
('Semgrep', 'Kiuwan');0;0;0;0;0;202;202;202;202;76;76;76;76;0;0;0;0;82;82;82;82;
('Semgrep', 'SpotBugs');0;0;0;0;0;8;8;8;8;270;270;270;270;5;5;5;5;77;77;77;77;
('Synopsis', 'Horusec');0;0;0;0;0;4;4;4;4;274;274;274;274;0;0;0;0;82;82;82;82;
('Synopsis', 'Kiuwan');0;0;0;0;0;202;202;202;202;76;76;76;76;0;0;0;0;82;82;82;82;
('Synopsis', 'SpotBugs');0;0;0;0;0;4;5;5;4;274;273;273;274;0;5;5;0;82;77;77;82;
('Horusec', 'Kiuwan');0;0;0;0;0;202;202;202;202;76;76;76;76;0;0;0;0;82;82;82;82;
('Horusec', 'SpotBugs');0;0;0;0;0;5;5;5;5;273;273;273;273;5;5;5;5;77;77;77;77;
('Kiuwan', 'SpotBugs');0;0;0;0;0;202;202;202;202;76;76;76;76;0;0;0;0;82;82;82;82;


INSECURE DESERIALIZATION
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;2;2;2;2;5;5;5;5;0;0;0;0;31;31;31;31;
('Snyk', 'Semgrep');0;0;0;0;0;3;2;2;2;4;5;5;5;26;0;0;0;5;31;31;31;
('Snyk', 'Synopsis');0;0;0;0;0;3;3;3;2;4;4;4;5;3;3;3;0;28;28;28;31;
('Snyk', 'Horusec');0;0;0;0;0;2;2;2;2;5;5;5;5;0;0;0;0;31;31;31;31;
('Snyk', 'Kiuwan');0;0;0;0;0;2;2;2;2;5;5;5;5;0;0;0;0;31;31;31;31;
('Snyk', 'SpotBugs');0;0;0;0;0;3;3;3;3;4;4;4;4;0;0;0;0;31;31;31;31;
('Fortify', 'Semgrep');0;0;0;0;0;3;3;3;0;4;4;4;7;26;26;26;0;5;5;5;31;
('Fortify', 'Synopsis');0;0;0;0;0;3;3;3;3;4;4;4;4;3;3;3;3;28;28;28;28;
('Fortify', 'Horusec');0;0;0;0;0;0;0;0;0;7;7;7;7;0;0;0;0;31;31;31;31;
('Fortify', 'Kiuwan');0;0;0;0;0;1;1;1;1;6;6;6;6;2;2;2;2;29;29;29;29;
('Fortify', 'SpotBugs');0;0;0;0;0;2;2;2;2;5;5;5;5;0;0;0;0;31;31;31;31;
('Semgrep', 'Synopsis');0;0;0;0;0;3;3;3;3;4;4;4;4;3;3;3;3;28;28;28;28;
('Semgrep', 'Horusec');0;0;0;0;0;3;3;3;0;4;4;4;7;26;26;26;0;5;5;5;31;
('Semgrep', 'Kiuwan');0;0;0;0;0;3;3;1;1;4;4;6;6;26;26;2;2;5;5;29;29;
('Semgrep', 'SpotBugs');0;0;0;0;0;3;2;2;2;4;5;5;5;26;0;0;0;5;31;31;31;
('Synopsis', 'Horusec');0;0;0;0;0;3;3;3;3;4;4;4;4;3;3;3;3;28;28;28;28;
('Synopsis', 'Kiuwan');0;0;0;0;0;3;3;3;3;4;4;4;4;3;3;3;3;28;28;28;28;
('Synopsis', 'SpotBugs');0;0;0;0;0;3;3;3;2;4;4;4;5;3;3;3;0;28;28;28;31;
('Horusec', 'Kiuwan');0;0;0;0;0;1;1;1;1;6;6;6;6;2;2;2;2;29;29;29;29;
('Horusec', 'SpotBugs');0;0;0;0;0;2;2;2;2;5;5;5;5;0;0;0;0;31;31;31;31;
('Kiuwan', 'SpotBugs');0;0;0;0;0;2;2;2;2;5;5;5;5;0;0;0;0;31;31;31;31;


XXE
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;5;5;5;5;5;5;5;5;3;3;3;3;22;22;22;22;
('Snyk', 'Semgrep');0;0;0;0;0;5;5;5;5;5;5;5;5;3;3;3;3;22;22;22;22;
('Snyk', 'Synopsis');0;0;0;0;0;5;5;5;5;5;5;5;5;3;3;3;3;22;22;22;22;
('Snyk', 'Horusec');0;0;0;0;0;5;5;5;5;5;5;5;5;3;3;3;3;22;22;22;22;
('Snyk', 'Kiuwan');0;0;0;0;0;5;5;5;5;5;5;5;5;3;3;3;3;22;22;22;22;
('Snyk', 'SpotBugs');0;0;0;0;0;5;5;5;1;5;5;5;9;3;3;3;0;22;22;22;25;
('Fortify', 'Semgrep');0;0;0;0;0;2;2;2;2;8;8;8;8;12;12;12;12;13;13;13;13;
('Fortify', 'Synopsis');0;0;0;0;0;1;1;1;1;9;9;9;9;1;1;1;1;24;24;24;24;
('Fortify', 'Horusec');0;0;0;0;0;0;0;0;0;10;10;10;10;17;17;17;5;8;8;8;20;
('Fortify', 'Kiuwan');0;0;0;0;0;1;1;1;1;9;9;9;9;9;9;9;9;16;16;16;16;
('Fortify', 'SpotBugs');0;0;0;0;0;1;1;1;1;9;9;9;9;0;0;0;0;25;25;25;25;
('Semgrep', 'Synopsis');0;0;0;0;0;2;2;2;1;8;8;8;9;12;12;12;1;13;13;13;24;
('Semgrep', 'Horusec');0;0;0;0;0;2;2;2;2;8;8;8;8;12;12;12;12;13;13;13;13;
('Semgrep', 'Kiuwan');0;0;0;0;0;2;2;2;2;8;8;8;8;12;12;12;12;13;13;13;13;
('Semgrep', 'SpotBugs');0;0;0;0;0;2;2;2;1;8;8;8;9;12;12;12;0;13;13;13;25;
('Synopsis', 'Horusec');0;0;0;0;0;1;1;1;1;9;9;9;9;1;1;1;1;24;24;24;24;
('Synopsis', 'Kiuwan');0;0;0;0;0;1;1;1;1;9;9;9;9;1;1;1;1;24;24;24;24;
('Synopsis', 'SpotBugs');0;0;0;0;0;1;1;1;1;9;9;9;9;0;0;0;0;25;25;25;25;
('Horusec', 'Kiuwan');0;0;0;0;0;1;1;1;1;9;9;9;9;9;9;9;9;16;16;16;16;
('Horusec', 'SpotBugs');0;0;0;0;0;1;1;1;1;9;9;9;9;0;0;0;0;25;25;25;25;
('Kiuwan', 'SpotBugs');0;0;0;0;0;1;1;1;1;9;9;9;9;0;0;0;0;25;25;25;25;


BAD PROGRAMMING COOKIES
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;43;43;43;43;69;69;69;69;5;5;5;5;30;30;30;30;
('Snyk', 'Semgrep');0;0;0;0;0;30;30;30;30;82;82;82;82;4;4;4;4;31;31;31;31;
('Snyk', 'Synopsis');0;0;0;0;0;39;39;39;39;73;73;73;73;1;1;1;1;34;34;34;34;
('Snyk', 'Horusec');0;0;0;0;0;43;43;43;43;69;69;69;69;5;5;5;5;30;30;30;30;
('Snyk', 'Kiuwan');0;0;0;0;0;43;43;43;43;69;69;69;69;5;5;5;5;30;30;30;30;
('Snyk', 'SpotBugs');0;0;0;0;0;43;43;43;43;69;69;69;69;5;5;5;5;30;30;30;30;
('Fortify', 'Semgrep');0;0;0;0;0;30;30;30;30;82;82;82;82;4;4;4;4;31;31;31;31;
('Fortify', 'Synopsis');0;0;0;0;0;39;39;39;39;73;73;73;73;1;1;1;1;34;34;34;34;
('Fortify', 'Horusec');0;0;0;0;0;46;46;46;46;66;66;66;66;12;12;12;12;23;23;23;23;
('Fortify', 'Kiuwan');0;0;0;0;0;46;46;46;46;66;66;66;66;12;12;12;12;23;23;23;23;
('Fortify', 'SpotBugs');0;0;0;0;0;0;0;0;0;112;112;112;112;0;0;0;0;35;35;35;35;
('Semgrep', 'Synopsis');0;0;0;0;0;30;30;30;39;82;82;82;73;4;4;4;1;31;31;31;34;
('Semgrep', 'Horusec');0;0;0;0;0;30;30;30;30;82;82;82;82;4;4;4;4;31;31;31;31;
('Semgrep', 'Kiuwan');0;0;0;0;0;30;30;30;30;82;82;82;82;4;4;4;4;31;31;31;31;
('Semgrep', 'SpotBugs');0;0;0;0;0;30;30;30;30;82;82;82;82;4;4;4;4;31;31;31;31;
('Synopsis', 'Horusec');0;0;0;0;0;39;39;39;39;73;73;73;73;1;1;1;1;34;34;34;34;
('Synopsis', 'Kiuwan');0;0;0;0;0;39;39;39;39;73;73;73;73;1;1;1;1;34;34;34;34;
('Synopsis', 'SpotBugs');0;0;0;0;0;39;39;39;39;73;73;73;73;1;1;1;1;34;34;34;34;
('Horusec', 'Kiuwan');0;0;0;0;0;1;1;1;1;111;111;111;111;0;0;0;0;35;35;35;35;
('Horusec', 'SpotBugs');0;0;0;0;0;0;0;0;0;112;112;112;112;0;0;0;0;35;35;35;35;
('Kiuwan', 'SpotBugs');0;0;0;0;0;0;0;0;0;112;112;112;112;0;0;0;0;35;35;35;35;


WEAK RANDOM
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;44;44;44;6;11;11;11;49;0;0;0;0;7;7;7;7;
('Snyk', 'Semgrep');0;0;0;0;0;9;9;9;9;46;46;46;46;0;0;0;0;7;7;7;7;
('Snyk', 'Synopsis');0;0;0;0;0;19;19;19;19;36;36;36;36;0;0;0;0;7;7;7;7;
('Snyk', 'Horusec');0;0;0;0;0;6;6;6;6;49;49;49;49;0;0;0;0;7;7;7;7;
('Snyk', 'Kiuwan');0;0;0;0;0;6;6;6;6;49;49;49;49;0;0;0;0;7;7;7;7;
('Snyk', 'SpotBugs');0;0;0;0;0;11;11;11;11;44;44;44;44;0;0;0;0;7;7;7;7;
('Fortify', 'Semgrep');0;0;0;0;0;44;44;44;9;11;11;11;46;0;0;0;0;7;7;7;7;
('Fortify', 'Synopsis');0;0;0;0;0;44;44;44;19;11;11;11;36;0;0;0;0;7;7;7;7;
('Fortify', 'Horusec');0;0;0;0;0;44;44;44;44;11;11;11;11;0;0;0;0;7;7;7;7;
('Fortify', 'Kiuwan');0;0;0;0;0;44;44;44;44;11;11;11;11;0;0;0;0;7;7;7;7;
('Fortify', 'SpotBugs');0;0;0;0;0;44;44;44;11;11;11;11;44;0;0;0;0;7;7;7;7;
('Semgrep', 'Synopsis');0;0;0;0;0;19;19;19;19;36;36;36;36;0;0;0;0;7;7;7;7;
('Semgrep', 'Horusec');0;0;0;0;0;9;9;9;9;46;46;46;46;0;0;0;0;7;7;7;7;
('Semgrep', 'Kiuwan');0;0;0;0;0;9;9;9;9;46;46;46;46;0;0;0;0;7;7;7;7;
('Semgrep', 'SpotBugs');0;0;0;0;0;11;11;11;11;44;44;44;44;0;0;0;0;7;7;7;7;
('Synopsis', 'Horusec');0;0;0;0;0;19;19;19;19;36;36;36;36;0;0;0;0;7;7;7;7;
('Synopsis', 'Kiuwan');0;0;0;0;0;19;19;19;19;36;36;36;36;0;0;0;0;7;7;7;7;
('Synopsis', 'SpotBugs');0;0;0;0;0;11;11;11;11;44;44;44;44;0;0;0;0;7;7;7;7;
('Horusec', 'Kiuwan');0;0;0;0;0;16;16;16;16;39;39;39;39;3;3;3;3;4;4;4;4;
('Horusec', 'SpotBugs');0;0;0;0;0;11;11;11;11;44;44;44;44;0;0;0;0;7;7;7;7;
('Kiuwan', 'SpotBugs');0;0;0;0;0;11;11;11;11;44;44;44;44;0;0;0;0;7;7;7;7;


LDAP INJECTION
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Snyk', 'Semgrep');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Snyk', 'Synopsis');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Snyk', 'Horusec');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Snyk', 'Kiuwan');0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;
('Snyk', 'SpotBugs');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Fortify', 'Semgrep');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Fortify', 'Synopsis');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Fortify', 'Horusec');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Fortify', 'Kiuwan');0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;
('Fortify', 'SpotBugs');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Semgrep', 'Synopsis');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Semgrep', 'Horusec');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Semgrep', 'Kiuwan');0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
('Semgrep', 'SpotBugs');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Synopsis', 'Horusec');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Synopsis', 'Kiuwan');0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
('Synopsis', 'SpotBugs');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Horusec', 'Kiuwan');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Horusec', 'SpotBugs');0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;
('Kiuwan', 'SpotBugs');0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;


METHOD TAMPERING
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;0;0;0;0;149;149;149;149;0;0;0;0;48;48;48;48;
('Snyk', 'Semgrep');0;0;0;0;0;1;1;1;1;148;148;148;148;0;0;0;0;48;48;48;48;
('Snyk', 'Synopsis');0;0;0;0;0;0;0;0;0;149;149;149;149;0;0;0;0;48;48;48;48;
('Snyk', 'Horusec');0;0;0;0;0;0;0;0;0;149;149;149;149;0;0;0;0;48;48;48;48;
('Snyk', 'Kiuwan');0;0;0;0;0;137;137;137;137;12;12;12;12;0;0;0;0;48;48;48;48;
('Snyk', 'SpotBugs');0;0;0;0;0;0;0;0;0;149;149;149;149;0;0;0;0;48;48;48;48;
('Fortify', 'Semgrep');0;0;0;0;0;1;1;1;1;148;148;148;148;0;0;0;0;48;48;48;48;
('Fortify', 'Synopsis');0;0;0;0;0;0;0;0;0;149;149;149;149;0;0;0;0;48;48;48;48;
('Fortify', 'Horusec');0;0;0;0;0;0;0;0;0;149;149;149;149;0;0;0;0;48;48;48;48;
('Fortify', 'Kiuwan');0;0;0;0;0;137;137;137;137;12;12;12;12;0;0;0;0;48;48;48;48;
('Fortify', 'SpotBugs');0;0;0;0;0;0;0;0;0;149;149;149;149;0;0;0;0;48;48;48;48;
('Semgrep', 'Synopsis');0;0;0;0;0;1;1;1;1;148;148;148;148;0;0;0;0;48;48;48;48;
('Semgrep', 'Horusec');0;0;0;0;0;1;1;1;1;148;148;148;148;0;0;0;0;48;48;48;48;
('Semgrep', 'Kiuwan');0;0;0;0;0;137;137;137;137;12;12;12;12;0;0;0;0;48;48;48;48;
('Semgrep', 'SpotBugs');0;0;0;0;0;1;1;1;1;148;148;148;148;0;0;0;0;48;48;48;48;
('Synopsis', 'Horusec');0;0;0;0;0;0;0;0;0;149;149;149;149;0;0;0;0;48;48;48;48;
('Synopsis', 'Kiuwan');0;0;0;0;0;137;137;137;137;12;12;12;12;0;0;0;0;48;48;48;48;
('Synopsis', 'SpotBugs');0;0;0;0;0;0;0;0;0;149;149;149;149;0;0;0;0;48;48;48;48;
('Horusec', 'Kiuwan');0;0;0;0;0;137;137;137;137;12;12;12;12;0;0;0;0;48;48;48;48;
('Horusec', 'SpotBugs');0;0;0;0;0;0;0;0;0;149;149;149;149;0;0;0;0;48;48;48;48;
('Kiuwan', 'SpotBugs');0;0;0;0;0;137;137;137;137;12;12;12;12;0;0;0;0;48;48;48;48;


OUTDATED COMPONENTS
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;3;3;3;1;217;217;217;219;0;0;0;0;7;7;7;7;
('Snyk', 'Semgrep');0;0;0;0;0;5;5;5;5;215;215;215;215;0;0;0;0;7;7;7;7;
('Snyk', 'Synopsis');0;0;0;0;0;2;2;2;2;218;218;218;218;0;0;0;0;7;7;7;7;
('Snyk', 'Horusec');0;0;0;0;0;1;10;10;1;219;210;210;219;0;2;2;0;7;5;5;7;
('Snyk', 'Kiuwan');0;0;0;0;0;195;195;195;195;25;25;25;25;0;0;0;0;7;7;7;7;
('Snyk', 'SpotBugs');0;0;0;0;0;1;1;1;1;219;219;219;219;0;0;0;0;7;7;7;7;
('Fortify', 'Semgrep');0;0;0;0;0;3;3;3;5;217;217;217;215;0;0;0;0;7;7;7;7;
('Fortify', 'Synopsis');0;0;0;0;0;3;3;3;1;217;217;217;219;0;0;0;0;7;7;7;7;
('Fortify', 'Horusec');0;0;0;0;0;3;3;3;10;217;217;217;210;0;0;0;2;7;7;7;5;
('Fortify', 'Kiuwan');0;0;0;0;0;195;195;195;195;25;25;25;25;0;0;0;0;7;7;7;7;
('Fortify', 'SpotBugs');0;0;0;0;0;3;3;3;0;217;217;217;220;0;0;0;0;7;7;7;7;
('Semgrep', 'Synopsis');0;0;0;0;0;5;5;5;5;215;215;215;215;0;0;0;0;7;7;7;7;
('Semgrep', 'Horusec');0;0;0;0;0;5;10;10;5;215;210;210;215;0;2;2;0;7;5;5;7;
('Semgrep', 'Kiuwan');0;0;0;0;0;195;195;195;195;25;25;25;25;0;0;0;0;7;7;7;7;
('Semgrep', 'SpotBugs');0;0;0;0;0;5;5;5;5;215;215;215;215;0;0;0;0;7;7;7;7;
('Synopsis', 'Horusec');0;0;0;0;0;1;10;10;1;219;210;210;219;0;2;2;0;7;5;5;7;
('Synopsis', 'Kiuwan');0;0;0;0;0;195;195;195;195;25;25;25;25;0;0;0;0;7;7;7;7;
('Synopsis', 'SpotBugs');0;0;0;0;0;1;1;1;1;219;219;219;219;0;0;0;0;7;7;7;7;
('Horusec', 'Kiuwan');0;0;0;0;0;195;195;195;195;25;25;25;25;0;0;0;0;7;7;7;7;
('Horusec', 'SpotBugs');0;0;0;0;0;10;10;10;10;210;210;210;210;2;2;2;2;5;5;5;5;
('Kiuwan', 'SpotBugs');0;0;0;0;0;195;195;195;195;25;25;25;25;0;0;0;0;7;7;7;7;


IMPROPER ERROR HANDLING
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;350;350;350;350;260;260;260;260;71;71;71;71;343;343;343;343;
('Snyk', 'Semgrep');0;0;0;0;0;4;4;4;4;606;606;606;606;0;0;0;0;414;414;414;414;
('Snyk', 'Synopsis');0;0;0;0;0;0;0;0;0;610;610;610;610;0;0;0;0;414;414;414;414;
('Snyk', 'Horusec');0;0;0;0;0;61;61;61;61;549;549;549;549;0;0;0;0;414;414;414;414;
('Snyk', 'Kiuwan');0;0;0;0;0;1;1;1;1;609;609;609;609;0;0;0;0;414;414;414;414;
('Snyk', 'SpotBugs');0;0;0;0;0;0;0;0;0;610;610;610;610;0;0;0;0;414;414;414;414;
('Fortify', 'Semgrep');0;0;0;0;0;350;350;350;4;260;260;260;606;71;71;71;0;343;343;343;414;
('Fortify', 'Synopsis');0;0;0;0;0;350;350;350;350;260;260;260;260;71;71;71;71;343;343;343;343;
('Fortify', 'Horusec');0;0;0;0;0;350;350;350;61;260;260;260;549;71;71;71;0;343;343;343;414;
('Fortify', 'Kiuwan');0;0;0;0;0;350;350;350;1;260;260;260;609;71;71;71;0;343;343;343;414;
('Fortify', 'SpotBugs');0;0;0;0;0;350;350;350;350;260;260;260;260;71;71;71;71;343;343;343;343;
('Semgrep', 'Synopsis');0;0;0;0;0;4;4;4;4;606;606;606;606;0;0;0;0;414;414;414;414;
('Semgrep', 'Horusec');0;0;0;0;0;61;61;61;61;549;549;549;549;0;0;0;0;414;414;414;414;
('Semgrep', 'Kiuwan');0;0;0;0;0;4;1;1;4;606;609;609;606;0;0;0;0;414;414;414;414;
('Semgrep', 'SpotBugs');0;0;0;0;0;4;4;4;4;606;606;606;606;0;0;0;0;414;414;414;414;
('Synopsis', 'Horusec');0;0;0;0;0;61;61;61;61;549;549;549;549;0;0;0;0;414;414;414;414;
('Synopsis', 'Kiuwan');0;0;0;0;0;1;1;1;1;609;609;609;609;0;0;0;0;414;414;414;414;
('Synopsis', 'SpotBugs');0;0;0;0;0;0;0;0;0;610;610;610;610;0;0;0;0;414;414;414;414;
('Horusec', 'Kiuwan');0;0;0;0;0;61;61;61;61;549;549;549;549;0;0;0;0;414;414;414;414;
('Horusec', 'SpotBugs');0;0;0;0;0;61;61;61;61;549;549;549;549;0;0;0;0;414;414;414;414;
('Kiuwan', 'SpotBugs');0;0;0;0;0;1;1;1;1;609;609;609;609;0;0;0;0;414;414;414;414;


SESSION EXPIRATION
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Snyk', 'Semgrep');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Snyk', 'Synopsis');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Snyk', 'Horusec');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Snyk', 'Kiuwan');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Snyk', 'SpotBugs');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Fortify', 'Semgrep');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Fortify', 'Synopsis');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Fortify', 'Horusec');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Fortify', 'Kiuwan');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Fortify', 'SpotBugs');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Semgrep', 'Synopsis');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Semgrep', 'Horusec');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Semgrep', 'Kiuwan');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Semgrep', 'SpotBugs');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Synopsis', 'Horusec');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Synopsis', 'Kiuwan');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Synopsis', 'SpotBugs');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Horusec', 'Kiuwan');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Horusec', 'SpotBugs');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
('Kiuwan', 'SpotBugs');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;


OS COMMAND INJECTION
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;6;5;5;5;3;4;4;4;19;0;0;0;14;33;33;33;
('Snyk', 'Semgrep');0;0;0;0;0;5;5;5;5;4;4;4;4;0;0;0;0;33;33;33;33;
('Snyk', 'Synopsis');0;0;0;0;0;5;5;5;5;4;4;4;4;0;0;0;0;33;33;33;33;
